test_system,scenario,users,repetition,host_energy,selection_rank
sockshop,A,100,1,215.01196792727276,5
sockshop,A,100,2,253.28404696363637,20
sockshop,A,100,3,238.39334894545456,8
sockshop,A,100,4,282.7821482909092,27
sockshop,A,100,5,197.7906849454546,19
sockshop,A,100,6,296.8285112545454,28
sockshop,A,100,7,235.94121341818177,6
sockshop,A,100,8,180.97682120000005,26
sockshop,A,100,9,215.36196089090913,4
sockshop,A,100,10,198.66661112727274,17
sockshop,A,100,11,204.9179462181818,14
sockshop,A,100,12,242.74627012727268,13
sockshop,A,100,13,208.7757371090909,9
sockshop,A,100,14,262.7933841272727,25
sockshop,A,100,15,209.6404000727273,7
sockshop,A,100,16,198.02287747272723,18
sockshop,A,100,17,206.98527954545455,11
sockshop,A,100,18,221.29109056363637,0
sockshop,A,100,19,201.9146822727273,15
sockshop,A,100,20,185.59123107272723,23
sockshop,A,100,21,246.15499592727272,16
sockshop,A,100,22,186.91901558181817,22
sockshop,A,100,23,205.99205285454545,12
sockshop,A,100,24,256.97328498181815,21
sockshop,A,100,25,262.4027478545455,24
sockshop,A,100,26,227.44924621818188,3
sockshop,A,100,27,227.11060643636364,2
sockshop,A,100,28,239.9656760545454,10
sockshop,A,100,29,226.48140230909092,1
sockshop,A,100,30,304.612725309091,29
sockshop,A,1000,1,232.8856103272727,5
sockshop,A,1000,2,188.58969716363632,17
sockshop,A,1000,3,228.21378085454538,3
sockshop,A,1000,4,220.9514160727273,2
sockshop,A,1000,5,184.5362953454545,19
sockshop,A,1000,6,274.73657605454537,21
sockshop,A,1000,7,232.67745716363635,4
sockshop,A,1000,8,207.29769219999994,8
sockshop,A,1000,9,206.9636558,9
sockshop,A,1000,10,193.9875054181818,14
sockshop,A,1000,11,316.8806095636364,27
sockshop,A,1000,12,206.65790652727273,10
sockshop,A,1000,13,224.98810436363635,0
sockshop,A,1000,14,292.12442276363635,25
sockshop,A,1000,15,258.35363909090916,16
sockshop,A,1000,16,200.90121067272722,12
sockshop,A,1000,17,257.8857740363636,15
sockshop,A,1000,18,211.93263289090908,6
sockshop,A,1000,19,171.65363225454544,22
sockshop,A,1000,20,323.7041411636363,28
sockshop,A,1000,21,269.3849782363636,20
sockshop,A,1000,22,223.27474163636367,1
sockshop,A,1000,23,442.8720319090909,29
sockshop,A,1000,24,291.68013152727275,24
sockshop,A,1000,25,188.19098334161538,18
sockshop,A,1000,26,209.74218769090905,7
sockshop,A,1000,27,296.0051955636364,26
sockshop,A,1000,28,167.76872641818179,23
sockshop,A,1000,29,247.93469743724287,13
sockshop,A,1000,30,202.92658201818185,11
sockshop,B,100,1,258.3666441090909,19
sockshop,B,100,2,245.12412529090906,9
sockshop,B,100,3,242.8125179454546,5
sockshop,B,100,4,237.3823365636364,0
sockshop,B,100,5,332.00332443636376,29
sockshop,B,100,6,228.27355507272728,11
sockshop,B,100,7,218.70997478181818,18
sockshop,B,100,8,208.57118859999994,24
sockshop,B,100,9,215.22021076363635,21
sockshop,B,100,10,307.05193589090914,27
sockshop,B,100,11,267.27528872727265,23
sockshop,B,100,12,231.9951005454545,7
sockshop,B,100,13,216.28527160000002,20
sockshop,B,100,14,254.3452455272727,17
sockshop,B,100,15,243.2572793454545,6
sockshop,B,100,16,230.86615990909087,10
sockshop,B,100,17,238.63816487272732,1
sockshop,B,100,18,253.01458978181822,15
sockshop,B,100,19,200.73078309090906,25
sockshop,B,100,20,276.37965029090907,26
sockshop,B,100,21,249.1499919090909,14
sockshop,B,100,22,244.52039287659719,8
sockshop,B,100,23,222.25397852727272,16
sockshop,B,100,24,319.27495422058354,28
sockshop,B,100,25,235.8044030181818,2
sockshop,B,100,26,248.93841230909086,13
sockshop,B,100,27,234.04258461818176,4
sockshop,B,100,28,228.2119050363637,12
sockshop,B,100,29,234.229681,3
sockshop,B,100,30,213.99698572727266,22
sockshop,B,1000,1,223.23895930909094,7
sockshop,B,1000,2,224.03855965454545,5
sockshop,B,1000,3,196.9035349090909,23
sockshop,B,1000,4,341.6344535454544,28
sockshop,B,1000,5,204.16710485058056,17
sockshop,B,1000,6,271.46283298181817,18
sockshop,B,1000,7,323.82024540000003,27
sockshop,B,1000,8,263.0815570181818,11
sockshop,B,1000,9,217.7235354260764,8
sockshop,B,1000,10,259.2225583636364,10
sockshop,B,1000,11,210.41154038181813,14
sockshop,B,1000,12,275.4467230727273,21
sockshop,B,1000,13,227.28246883636368,3
sockshop,B,1000,14,207.3780966181818,15
sockshop,B,1000,15,228.6283940363636,2
sockshop,B,1000,16,246.46866229090907,0
sockshop,B,1000,17,178.95240401818185,25
sockshop,B,1000,18,248.73789427982538,4
sockshop,B,1000,19,269.35449650909084,16
sockshop,B,1000,20,258.32356601818185,9
sockshop,B,1000,21,272.6347229454545,19
sockshop,B,1000,22,277.3811257272728,22
sockshop,B,1000,23,274.32744947272727,20
sockshop,B,1000,24,229.11379447272728,1
sockshop,B,1000,25,167.44894961818179,26
sockshop,B,1000,26,223.71837629090905,6
sockshop,B,1000,27,180.44376736363637,24
sockshop,B,1000,28,212.3303266,12
sockshop,B,1000,29,264.1469297636364,13
sockshop,B,1000,30,353.2127135636363,29
trainticket,A,100,1,282.26338969090915,6
trainticket,A,100,2,264.22066532727285,19
trainticket,A,100,3,290.6804027636363,2
trainticket,A,100,4,255.10975198181814,26
trainticket,A,100,5,285.9098598181818,4
trainticket,A,100,6,338.3736027999999,27
trainticket,A,100,7,236.06881774545448,28
trainticket,A,100,8,316.19049941818196,24
trainticket,A,100,9,275.24156105454546,13
trainticket,A,100,10,294.22415763636354,5
trainticket,A,100,11,301.5121917272728,11
trainticket,A,100,12,304.2967646,14
trainticket,A,100,13,287.9622252181818,0
trainticket,A,100,14,315.1105145529952,22
trainticket,A,100,15,285.9205006545455,3
trainticket,A,100,16,271.9150939090908,17
trainticket,A,100,17,278.45454785507144,10
trainticket,A,100,18,305.9371344,15
trainticket,A,100,19,507.2049065636363,29
trainticket,A,100,20,299.86216414545464,9
trainticket,A,100,21,315.90211121818174,23
trainticket,A,100,22,298.3851619124488,8
trainticket,A,100,23,263.70575729090916,20
trainticket,A,100,24,306.07677745454555,16
trainticket,A,100,25,267.8721362727273,18
trainticket,A,100,26,276.8107586909091,12
trainticket,A,100,27,290.42374136363634,1
trainticket,A,100,28,314.93726832727265,21
trainticket,A,100,29,258.38080613744955,25
trainticket,A,100,30,281.1849918909091,7
trainticket,A,1000,1,265.43055683636356,16
trainticket,A,1000,2,309.85839654545447,9
trainticket,A,1000,3,380.1647135090911,27
trainticket,A,1000,4,345.54022754545446,22
trainticket,A,1000,5,291.96489172727263,1
trainticket,A,1000,6,327.65301384372316,17
trainticket,A,1000,7,289.45518841183525,2
trainticket,A,1000,8,273.97095161818174,14
trainticket,A,1000,9,277.56206307272714,13
trainticket,A,1000,10,261.1087507818181,19
trainticket,A,1000,11,345.86607612727266,23
trainticket,A,1000,12,314.09004967728816,12
trainticket,A,1000,13,338.3093356727273,20
trainticket,A,1000,14,351.2629774,24
trainticket,A,1000,15,278.28732750909074,10
trainticket,A,1000,16,403.8018879090908,28
trainticket,A,1000,17,270.7183793454545,15
trainticket,A,1000,18,341.0076665090908,21
trainticket,A,1000,19,304.39672856363643,5
trainticket,A,1000,20,307.6659917090909,7
trainticket,A,1000,21,278.03605003636375,11
trainticket,A,1000,22,287.44971352727265,4
trainticket,A,1000,23,376.870247381818,26
trainticket,A,1000,24,286.26326685454546,6
trainticket,A,1000,25,235.94354083636372,25
trainticket,A,1000,26,303.8900477106256,3
trainticket,A,1000,27,158.23036678181816,29
trainticket,A,1000,28,283.8402228363637,8
trainticket,A,1000,29,299.79201490909105,0
trainticket,A,1000,30,262.4301504545454,18
trainticket,B,100,1,272.7471098727273,4
trainticket,B,100,2,262.42566981818186,16
trainticket,B,100,3,290.87785941818174,11
trainticket,B,100,4,277.66778351120456,1
trainticket,B,100,5,296.58804498181814,19
trainticket,B,100,6,256.06753729840625,21
trainticket,B,100,7,278.9656028909091,0
trainticket,B,100,8,266.65025092727274,10
trainticket,B,100,9,295.7681092727273,17
trainticket,B,100,10,262.4907868727272,15
trainticket,B,100,11,303.2646716909091,22
trainticket,B,100,12,307.15950001211,24
trainticket,B,100,13,262.64407605454545,14
trainticket,B,100,14,312.4267597454545,26
trainticket,B,100,15,260.1721550756505,18
trainticket,B,100,16,245.6196191454545,25
trainticket,B,100,17,289.5150195090911,9
trainticket,B,100,18,285.94730605454544,6
trainticket,B,100,19,284.0052143272728,5
trainticket,B,100,20,229.33442938177305,28
trainticket,B,100,21,292.0984515454545,12
trainticket,B,100,22,249.93465476363627,23
trainticket,B,100,23,289.0657742181819,8
trainticket,B,100,24,292.19637425454556,13
trainticket,B,100,25,237.31408534545446,27
trainticket,B,100,26,296.97514350909097,20
trainticket,B,100,27,276.88329763636364,2
trainticket,B,100,28,276.6878962,3
trainticket,B,100,29,417.3063139818181,29
trainticket,B,100,30,270.0210949636363,7
trainticket,B,1000,1,241.7471230727273,27
trainticket,B,1000,2,326.14637729090896,16
trainticket,B,1000,3,285.9657539272728,12
trainticket,B,1000,4,290.61524967272726,7
trainticket,B,1000,5,246.17434272727274,26
trainticket,B,1000,6,260.1804438727272,21
trainticket,B,1000,7,266.21235879999995,17
trainticket,B,1000,8,298.2301666486997,2
trainticket,B,1000,9,306.3792749852635,10
trainticket,B,1000,10,302.08310283636365,5
trainticket,B,1000,11,341.48382998181813,23
trainticket,B,1000,12,296.7589370809708,0
trainticket,B,1000,13,298.05740381818174,1
trainticket,B,1000,14,295.37041445454537,3
trainticket,B,1000,15,301.2558171454546,4
trainticket,B,1000,16,270.5512043272727,15
trainticket,B,1000,17,257.9794901636364,22
trainticket,B,1000,18,353.232755290909,28
trainticket,B,1000,19,302.1401739090908,6
trainticket,B,1000,20,290.38941623636373,8
trainticket,B,1000,21,251.74398900938934,24
trainticket,B,1000,22,346.3061425636363,25
trainticket,B,1000,23,332.7480362909092,20
trainticket,B,1000,24,264.3792619840224,19
trainticket,B,1000,25,308.3723674,11
trainticket,B,1000,26,304.50757603760746,9
trainticket,B,1000,27,272.00988325454546,14
trainticket,B,1000,28,264.8915562909091,18
trainticket,B,1000,29,313.17352350909084,13
trainticket,B,1000,30,356.7548304181819,29
